STO sub Energy,STO sub Absorption,Stoichiometric STO Energy,Stoichiometric STO Absorption,Off stoichiometric STO Energy,Off stoichiometric STO Absorption
0.47112462,25.1677,0.47112462,25.2276,0.47112462,84.1267
0.471214136,25.1356,0.471214136,25.239,0.471214136,84.0886
0.471303687,25.1026,0.471303687,25.2694,0.471303687,84.0231
0.471393271,25.0411,0.471393271,25.2861,0.471393271,83.9701
0.47148289,24.9938,0.47148289,25.3092,0.47148289,83.9008
0.471572542,24.9484,0.471572542,25.3635,0.471572542,83.8131
0.471662229,24.9446,0.471662229,25.4331,0.471662229,83.7572
0.47175195,24.9304,0.47175195,25.518,0.47175195,83.7004
0.471841705,24.9602,0.471841705,25.594,0.471841705,83.6491
0.471931494,25.0063,0.471931494,25.6823,0.471931494,83.6357
0.472021317,25.0408,0.472021317,25.7569,0.472021317,83.6316
0.472111175,25.0895,0.472111175,25.8416,0.472111175,83.6207
0.472201066,25.128,0.472201066,25.8963,0.472201066,83.6387
0.472290992,25.1801,0.472290992,25.9235,0.472290992,83.6553
0.472380952,25.2309,0.472380952,25.9688,0.472380952,83.6793
0.472470947,25.2903,0.472470947,26.0183,0.472470947,83.7001
0.472560976,25.3398,0.472560976,26.0729,0.472560976,83.7595
0.472651039,25.372,0.472651039,26.104,0.472651039,83.8119
0.472741136,25.3832,0.472741136,26.1207,0.472741136,83.8477
0.472831268,25.3729,0.472831268,26.1247,0.472831268,83.8999
0.472921434,25.3787,0.472921434,26.1305,0.472921434,83.9413
0.473011635,25.32,0.473011635,26.1201,0.473011635,83.9764
0.47310187,25.2802,0.47310187,26.1111,0.47310187,83.9778
0.473192139,25.219,0.473192139,26.089,0.473192139,83.9616
0.473282443,25.1148,0.473282443,26.0519,0.473282443,83.9608
0.473372781,25.0511,0.473372781,26.0058,0.473372781,83.9422
0.473463154,24.9751,0.473463154,25.9504,0.473463154,83.8974
0.473553561,24.9338,0.473553561,25.9103,0.473553561,83.8373
0.473644003,24.8999,0.473644003,25.8535,0.473644003,83.7988
0.473734479,24.8767,0.473734479,25.7733,0.473734479,83.728
0.47382499,24.843,0.47382499,25.6967,0.47382499,83.66
0.473915536,24.8407,0.473915536,25.6138,0.473915536,83.5807
0.474006116,24.8749,0.474006116,25.5623,0.474006116,83.5321
0.474096731,24.9104,0.474096731,25.5014,0.474096731,83.4874
0.47418738,24.9498,0.47418738,25.4677,0.47418738,83.4668
0.474278065,25.02,0.474278065,25.4255,0.474278065,83.4298
0.474368783,25.1031,0.474368783,25.3998,0.474368783,83.4338
0.474459537,25.1585,0.474459537,25.357,0.474459537,83.453
0.474550325,25.2317,0.474550325,25.3394,0.474550325,83.472
0.474641148,25.2813,0.474641148,25.3258,0.474641148,83.4928
0.474732006,25.3289,0.474732006,25.2679,0.474732006,83.5128
0.474822899,25.3568,0.474822899,25.2448,0.474822899,83.5418
0.474913826,25.3932,0.474913826,25.2258,0.474913826,83.5763
0.475004788,25.4234,0.475004788,25.2025,0.475004788,83.6317
0.475095785,25.3986,0.475095785,25.163,0.475095785,83.6782
0.475186817,25.3739,0.475186817,25.1184,0.475186817,83.7033
0.475277884,25.3281,0.475277884,25.0809,0.475277884,83.6981
0.475368986,25.3353,0.475368986,25.0668,0.475368986,83.7157
0.475460123,25.2955,0.475460123,25.0471,0.475460123,83.6994
0.475551294,25.2411,0.475551294,25.0542,0.475551294,83.6647
0.475642501,25.2322,0.475642501,25.1104,0.475642501,83.6284
0.475733743,25.1628,0.475733743,25.1059,0.475733743,83.584
0.475825019,25.1244,0.475825019,25.1208,0.475825019,83.5379
0.475916331,25.038,0.475916331,25.1196,0.475916331,83.465
0.476007678,24.9761,0.476007678,25.1395,0.476007678,83.377
0.476099059,24.9336,0.476099059,25.1435,0.476099059,83.3248
0.476190476,24.9378,0.476190476,25.162,0.476190476,83.2598
0.476281928,24.9561,0.476281928,25.1609,0.476281928,83.1938
0.476373415,24.9981,0.476373415,25.1865,0.476373415,83.1619
0.476464938,25.0601,0.476464938,25.2125,0.476464938,83.1338
0.476556495,25.1273,0.476556495,25.255,0.476556495,83.145
0.476648088,25.1758,0.476648088,25.242,0.476648088,83.1763
0.476739715,25.2417,0.476739715,25.2775,0.476739715,83.2049
0.476831379,25.3089,0.476831379,25.3057,0.476831379,83.2398
0.476923077,25.3598,0.476923077,25.3526,0.476923077,83.3032
0.477014811,25.3934,0.477014811,25.366,0.477014811,83.347
0.477106579,25.4423,0.477106579,25.4081,0.477106579,83.4194
0.477198384,25.474,0.477198384,25.4359,0.477198384,83.486
0.477290223,25.4513,0.477290223,25.4257,0.477290223,83.5275
0.477382098,25.4036,0.477382098,25.4324,0.477382098,83.5414
0.477474008,25.3402,0.477474008,25.4297,0.477474008,83.5616
0.477565954,25.2857,0.477565954,25.4101,0.477565954,83.5498
0.477657935,25.1915,0.477657935,25.3686,0.477657935,83.5134
0.477749952,25.1435,0.477749952,25.345,0.477749952,83.4481
0.477842004,25.1116,0.477842004,25.3543,0.477842004,83.377
0.477934091,25.072,0.477934091,25.3194,0.477934091,83.2968
0.478026214,25.0671,0.478026214,25.2812,0.478026214,83.1883
0.478118373,25.0997,0.478118373,25.2786,0.478118373,83.1157
0.478210567,25.1399,0.478210567,25.2625,0.478210567,83.0685
0.478302797,25.1576,0.478302797,25.1979,0.478302797,83.0183
0.478395062,25.1688,0.478395062,25.1582,0.478395062,83.0018
0.478487363,25.2255,0.478487363,25.1596,0.478487363,83.0142
0.478579699,25.2842,0.478579699,25.1417,0.478579699,83.0279
