STO sub two theta,STO sub Int,STOonSTO two theta,STOonSTO Int,STOonLSAT sub two theta,STOonLSAT Int
46.91,45,45.705,12,46.91,1113670
46.915,46,45.7075,7,46.915,775642
46.92,42,45.71,18,46.92,420766
46.925,37,45.7125,11,46.925,127994
46.93,31,45.715,15,46.93,96580
46.935,42,45.7175,17,46.935,52212
46.94,45,45.72,12,46.94,32911
46.945,25,45.7225,15,46.945,24312
46.95,35,45.725,13,46.95,19395
46.955,33,45.7275,5,46.955,16165
46.96,32,45.73,8,46.96,13338
46.965,36,45.7325,8,46.965,11337
46.97,36,45.735,14,46.97,9707
46.975,36,45.7375,17,46.975,8223
46.98,31,45.74,19,46.98,7084
46.985,38,45.7425,18,46.985,5986
46.99,20,45.745,14,46.99,5195
46.995,34,45.7475,22,46.995,4633
47,32,45.75,23,47,4048
47.005,25,45.7525,18,47.005,3601
47.01,24,45.755,24,47.01,3257
47.015,28,45.7575,15,47.015,3029
47.02,24,45.76,14,47.02,2638
47.025,33,45.7625,25,47.025,2530
47.03,29,45.765,15,47.03,2310
47.035,29,45.7675,20,47.035,2180
47.04,28,45.77,18,47.04,1983
47.045,30,45.7725,16,47.045,1885
47.05,30,45.775,17,47.05,1844
47.055,30,45.7775,18,47.055,1644
47.06,32,45.78,20,47.06,1576
47.065,27,45.7825,26,47.065,1467
47.07,25,45.785,28,47.07,1348
47.075,22,45.7875,21,47.075,1365
47.08,36,45.79,24,47.08,1352
47.085,23,45.7925,19,47.085,1273
47.09,24,45.795,25,47.09,1253
47.095,30,45.7975,31,47.095,1261
47.1,18,45.8,35,47.1,1265
47.105,17,45.8025,22,47.105,1239
47.11,16,45.805,34,47.11,1253
47.115,27,45.8075,23,47.115,1261
47.12,15,45.81,38,47.12,1183
47.125,23,45.8125,38,47.125,1143
47.13,26,45.815,26,47.13,1017
47.135,24,45.8175,37,47.135,914
47.14,26,45.82,23,47.14,832
47.145,20,45.8225,24,47.145,616
47.15,19,45.825,27,47.15,521
47.155,23,45.8275,46,47.155,415
47.16,34,45.83,32,47.16,342
47.165,16,45.8325,43,47.165,295
47.17,25,45.835,36,47.17,252
47.175,20,45.8375,37,47.175,222
47.18,22,45.84,40,47.18,192
47.185,21,45.8425,37,47.185,198
47.19,20,45.845,35,47.19,170
47.195,22,45.8475,39,47.195,139
47.2,34,45.85,44,47.2,138
47.205,19,45.8525,48,47.205,122
47.21,21,45.855,46,47.21,105
47.215,26,45.8575,46,47.215,100
47.22,16,45.86,45,47.22,115
47.225,24,45.8625,32,47.225,95
47.23,33,45.865,25,47.23,100
47.235,22,45.8675,27,47.235,126
47.24,29,45.87,32,47.24,131
47.245,25,45.8725,35,47.245,122
47.25,20,45.875,46,47.25,114
47.255,19,45.8775,40,47.255,119
47.26,12,45.88,36,47.26,114
47.265,19,45.8825,34,47.265,113
47.27,18,45.885,27,47.27,125
47.275,23,45.8875,36,47.275,116
47.28,29,45.89,38,47.28,119
47.285,26,45.8925,37,47.285,124
47.29,20,45.895,37,47.29,121
47.295,24,45.8975,38,47.295,115
47.3,21,45.9,40,47.3,96
47.305,21,45.9025,28,47.305,84
47.31,32,45.905,40,47.31,71
47.315,25,45.9075,29,47.315,74
47.32,26,45.91,31,47.32,70
47.325,29,45.9125,36,47.325,49
47.33,27,45.915,31,47.33,55
47.335,20,45.9175,27,47.335,55
47.34,9,45.92,30,47.34,45
47.345,10,45.9225,20,47.345,50
47.35,27,45.925,26,47.35,31
47.355,27,45.9275,33,47.355,35
47.36,19,45.93,31,47.36,31
47.365,25,45.9325,23,47.365,43
47.37,27,45.935,23,47.37,41
47.375,22,45.9375,17,47.375,42
47.38,25,45.94,22,47.38,53
47.385,16,45.9425,27,47.385,43
47.39,21,45.945,25,47.39,50
47.395,21,45.9475,24,47.395,54
47.4,25,45.95,20,47.4,57
47.405,25,45.9525,31,47.405,59
47.41,29,45.955,31,47.41,63
47.415,34,45.9575,26,47.415,69
47.42,23,45.96,19,47.42,65
47.425,18,45.9625,23,47.425,50
47.43,29,45.965,19,47.43,58
47.435,25,45.9675,25,47.435,50
47.44,31,45.97,21,47.44,59
47.445,25,45.9725,28,47.445,49
47.45,21,45.975,28,47.45,64
47.455,26,45.9775,17,47.455,52
47.46,34,45.98,21,47.46,43
47.465,23,45.9825,22,47.465,37
47.47,32,45.985,27,47.47,23
47.475,29,45.9875,18,47.475,28
47.48,27,45.99,18,47.48,35
47.485,38,45.9925,19,47.485,26
47.49,28,45.995,27,47.49,23
47.495,19,45.9975,22,47.495,27
47.5,28,46,26,47.5,22
47.505,25,46.0025,32,47.505,35
47.51,25,46.005,16,47.51,30
47.515,21,46.0075,28,47.515,22
47.52,22,46.01,22,47.52,22
47.525,29,46.0125,28,47.525,41
47.53,26,46.015,23,47.53,43
47.535,22,46.0175,29,47.535,39
47.54,25,46.02,36,47.54,39
47.545,22,46.0225,30,47.545,37
47.55,17,46.025,45,47.55,39
47.555,27,46.0275,33,47.555,44
47.56,19,46.03,33,47.56,42
47.565,19,46.0325,30,47.565,50
47.57,14,46.035,26,47.57,52
47.575,9,46.0375,42,47.575,59
47.58,20,46.04,34,47.58,41
47.585,14,46.0425,30,47.585,45
47.59,24,46.045,54,47.59,49
47.595,19,46.0475,28,47.595,41
47.6,16,46.05,35,47.6,37
47.605,18,46.0525,45,47.605,36
47.61,18,46.055,45,47.61,30
47.615,17,46.0575,37,47.615,27
47.62,21,46.06,44,47.62,22
47.625,16,46.0625,46,47.625,18
47.63,18,46.065,40,47.63,32
47.635,12,46.0675,42,47.635,27
47.64,17,46.07,50,47.64,27
47.645,14,46.0725,45,47.645,32
47.65,16,46.075,46,47.65,23
47.655,13,46.0775,53,47.655,27
47.66,16,46.08,47,47.66,21
47.665,13,46.0825,53,47.665,24
47.67,11,46.085,66,47.67,19
47.675,9,46.0875,60,47.675,30
47.68,15,46.09,59,47.68,28
47.685,15,46.0925,60,47.685,23
47.69,12,46.095,51,47.69,28
47.695,7,46.0975,59,47.695,26
47.7,10,46.1,64,47.7,27
47.705,18,46.1025,53,47.705,34
47.71,9,46.105,56,47.71,48
47.715,9,46.1075,77,47.715,32
47.72,6,46.11,66,47.72,35
47.725,11,46.1125,74,47.725,42
47.73,10,46.115,72,47.73,36
47.735,9,46.1175,75,47.735,44
47.74,10,46.12,84,47.74,39
47.745,10,46.1225,87,47.745,35
47.75,5,46.125,90,47.75,26
47.755,6,46.1275,105,47.755,32
47.76,7,46.13,76,47.76,38
47.765,10,46.1325,102,47.765,26
47.77,3,46.135,119,47.77,34
47.775,9,46.1375,124,47.775,29
47.78,10,46.14,122,47.78,30
47.785,12,46.1425,135,47.785,19
47.79,7,46.145,128,47.79,30
47.795,6,46.1475,151,47.795,27
47.8,8,46.15,190,47.8,33
47.805,8,46.1525,183,47.805,43
47.81,8,46.155,177,47.81,37
47.815,7,46.1575,210,47.815,31
47.82,5,46.16,200,47.82,23
47.825,11,46.1625,233,47.825,21
47.83,9,46.165,241,47.83,28
47.835,6,46.1675,249,47.835,34
47.84,4,46.17,258,47.84,37
47.845,6,46.1725,322,47.845,32
47.85,6,46.175,322,47.85,43
47.855,4,46.1775,331,47.855,29
47.86,9,46.18,358,47.86,31
47.865,8,46.1825,378,47.865,27
47.87,10,46.185,413,47.87,39
47.875,6,46.1875,418,47.875,37
47.88,9,46.19,434,47.88,31
47.885,5,46.1925,481,47.885,29
47.89,8,46.195,514,47.89,28
47.895,5,46.1975,554,47.895,47
47.9,6,46.2,581,47.9,31
47.905,8,46.2025,628,47.905,32
47.91,6,46.205,690,47.91,34
47.915,10,46.2075,653,47.915,25
47.92,5,46.21,685,47.92,24
