Stoichiometroic Energy,Stoichiometroic Int,Off stoichiometroic Energy,Off stoichiometroic Int
3.75,2,3.75,3
3.76,2,3.76,6
3.77,6,3.77,3
3.78,10,3.78,2
3.79,5,3.79,2
3.8,3,3.8,6
3.81,1,3.81,1
3.82,1,3.82,3
3.83,3,3.83,3
3.84,1,3.84,4
3.85,4,3.85,1
3.86,5,3.86,1
3.87,5,3.87,3
3.88,3,3.88,3
3.89,3,3.89,1
3.9,6,3.9,2
3.91,3,3.91,1
3.92,4,3.92,3
3.93,2,3.93,1
3.94,4,3.94,1
3.95,4,3.95,3
3.96,3,3.96,2
3.97,5,3.97,1
3.98,2,3.98,3
3.99,5,3.99,3
4,3,4,4
4.01,1,4.01,1
4.02,1,4.02,4
4.03,7,4.03,2
4.04,3,4.04,1
4.05,2,4.05,0
4.06,2,4.06,3
4.07,3,4.07,4
4.08,3,4.08,2
4.09,1,4.09,3
4.1,2,4.1,4
4.11,4,4.11,4
4.12,0,4.12,3
4.13,4,4.13,2
4.14,1,4.14,0
4.15,1,4.15,0
4.16,4,4.16,4
4.17,6,4.17,3
4.18,4,4.18,0
4.19,2,4.19,0
4.2,2,4.2,2
4.21,2,4.21,4
4.22,4,4.22,4
4.23,2,4.23,3
4.24,3,4.24,6
4.25,3,4.25,6
4.26,3,4.26,3
4.27,6,4.27,2
4.28,8,4.28,2
4.29,4,4.29,1
4.3,4,4.3,5
4.31,2,4.31,5
4.32,4,4.32,5
4.33,6,4.33,3
4.34,4,4.34,5
4.35,6,4.35,10
4.36,5,4.36,4
4.37,17,4.37,15
4.38,12,4.38,12
4.39,12,4.39,18
4.4,32,4.4,26
4.41,39,4.41,35
4.42,77,4.42,59
4.43,85,4.43,57
4.44,108,4.44,95
4.45,136,4.45,140
4.46,200,4.46,148
4.47,249,4.47,198
4.48,289,4.48,213
4.49,304,4.49,237
4.5,318,4.5,234
4.51,332,4.51,298
4.52,350,4.52,272
4.53,303,4.53,222
4.54,305,4.54,209
4.55,204,4.55,194
4.56,210,4.56,170
4.57,165,4.57,143
4.58,119,4.58,117
4.59,91,4.59,80
4.6,65,4.6,44
4.61,37,4.61,48
4.62,36,4.62,36
4.63,17,4.63,18
4.64,14,4.64,15
4.65,8,4.65,7
4.66,3,4.66,8
4.67,8,4.67,7
4.68,4,4.68,1
4.69,3,4.69,4
4.7,5,4.7,5
4.71,7,4.71,3
4.72,4,4.72,4
4.73,4,4.73,2
4.74,1,4.74,4
4.75,3,4.75,7
4.76,3,4.76,3
4.77,8,4.77,2
4.78,6,4.78,2
4.79,2,4.79,3
4.8,9,4.8,3
4.81,4,4.81,4
4.82,8,4.82,9
4.83,12,4.83,8
4.84,16,4.84,10
4.85,18,4.85,12
4.86,23,4.86,21
4.87,35,4.87,22
4.88,23,4.88,16
4.89,28,4.89,34
4.9,55,4.9,25
4.91,33,4.91,36
4.92,51,4.92,38
4.93,42,4.93,34
4.94,47,4.94,46
4.95,44,4.95,40
4.96,40,4.96,42
4.97,34,4.97,24
